"","K","sd","Year","DOY"
"1",648.94425,6.36859604818833,2021,217
"2",658.229875,6.41399775393631,2021,231
"3",530.65375,5.75898075834605,2021,246
"4",605.967125,6.15409987833314,2021,260
"5",572.550733333333,6.17819139302829,2021,288
"6",558.2709375,5.90693944388716,2021,302
"7",573.4125,5.98650826859865,2021,316
"8",609.2551875,6.17077379416472,2021,337
"9",566.4299375,5.94994715050058,2022,84
"10",594.7985,6.09712278455994,2022,105
"11",561.8459375,5.92582239809379,2022,138
"12",561.699,5.92504746816428,2022,147
"13",651.5756875,6.3814951593455,2022,215
"14",602.2168125,6.13502655098167,2022,229
"15",621.90175,6.23448950396101,2022,243
"16",612.686875,6.18812812468359,2022,260
"17",668.2345625,6.46255832904044,2022,278
"18",649.2785,6.37023596501731,2022,295
"19",607.6431875,6.1626049052937,2023,135
"20",634.0966875,6.29531913160485,2023,159
"21",652.717,6.38708168884664,2023,172
"22",585.083,6.0471222494671,2023,191
"23",521.8641875,5.71108673710617,2023,205
"24",528.9881875,5.74993580127205,2023,221
"25",587.54325,6.05982286251009,2023,240
"26",653.8514375,6.39262972834732,2023,264
"27",613.3794375,6.19162457225485,2023,296
