"","Date","V_Wt_Avg (g/g)","SD (g/g)","SE (g/g)"
"1","2021-08-05",0.171123231820476,0.0150339019725437,0.00344901365396921
"2","2021-08-19",0.178661093003997,0.0187473236834457,0.00430093102094666
"3","2021-09-03",0.260893256692042,0.0160565292891518,0.00368362045028493
"4","2021-09-17",0.220638934639854,0.0268763885371952,0.00616586640005099
"5","2021-10-15",0.255434218073093,0.0224292216139868,0.00514561633671824
"6","2021-10-29",0.283131175050533,0.0337330355002554,0.00773888909497281
"7","2021-11-12",0.266867826300207,0.0366368502808359,0.00840506989388386
"8","2021-12-03",0.23067956364046,0.0226392722212852,0.00519380525094156
"9","2022-03-25",0.262023427259293,0.0155042548005165,0.00355691999317668
"10","2022-04-15",0.242200046638471,0.020147224951479,0.00462209039769886
"11","2022-05-18",0.256754994792205,0.0173444770594409,0.00397909593319275
"12","2022-05-27",0.261977567106516,0.0146818179059361,0.00336824002944429
"13","2022-08-03",0.107778750329371,0.0165696302330311,0.00380133387987469
"14","2022-08-17",0.179503383228734,0.0250380954217204,0.00574413303589513
"15","2022-08-31",0.126650964038078,0.0130955361591865,0.00300432203838824
"16","2022-09-17",0.178115061401023,0.0279680366881795,0.0064163076617375
"17","2022-10-05",0.133485737781741,0.016489687881495,0.00378299384662967
"18","2022-10-22",0.146379173556185,0.0258092515634594,0.00592104838808099
"19","2023-05-15",0.208689140981337,0.0239540114057416,0.00549542710579203
"20","2023-06-08",0.217504043423897,0.0326106767025594,0.0074814023277333
"21","2023-06-21",0.140872413997819,0.0423652090315957,0.00971924552056327
"22","2023-07-10",0.272414286708603,0.0424826972332384,0.00974619916256427
"23","2023-07-24",0.296644337513596,0.0436506828642017,0.010014153443242
"24","2023-08-09",0.300954417440016,0.047289762272037,0.0108490155162038
"25","2023-08-28",0.210752980872498,0.0259103500377481,0.00594424196875312
"26","2023-09-21",0.133185560492806,0.0205032750920507,0.00470377390199282
"27","2023-10-23",0.22940465906855,0.0208310328566858,0.00477896669009836
