"","SqErr for Test value","Io","mu_g","BWE slope"
"1",0.0129085897007814,783.123093443201,0.05257,-0.012
"2",0.0124524718980615,800.846691198262,0.05257,-0.012
"3",0.00268417917135811,789.743906707653,0.05257,-0.012
"4",0.00330841148804664,785.944964382404,0.05257,-0.012
"5",0.000165352350324066,798.155360807419,0.05257,-0.012
"6",0.00130391788411181,800.846691198262,0.05257,-0.012
"7",0.000817732755054681,800.846691198262,0.05257,-0.012
"8",0.00127480931576787,782.251492346339,0.05257,-0.012
"9",0.00269530381947864,800.846691198262,0.05257,-0.012
"10",0.000118741202221407,785.910318670087,0.05257,-0.012
"11",0.00117397863079594,779.259893572287,0.05257,-0.012
"12",0.00116474295843848,782.108627175781,0.05257,-0.012
"13",0.000556014414010175,800.846691198262,0.05257,-0.012
"14",0.000424467482825567,789.90404006407,0.05257,-0.012
"15",0.00240181222009992,800.846691198262,0.05257,-0.012
"16",1.97452072764979e-05,784.868509942937,0.05257,-0.012
"17",8.429110073214e-05,800.846691198262,0.05257,-0.012
"18",8.92848041190777e-05,800.846691198262,0.05257,-0.012
"19",0.000446647919932174,800.846691198262,0.05257,-0.012
"20",0.00436042635104958,785.344860278054,0.05257,-0.012
"21",0.00235698014168103,777.200369906484,0.05257,-0.012
"22",0.00254360302814785,800.846691198262,0.05257,-0.012
"23",0.000248585158470607,781.959467451427,0.05257,-0.012
"24",0.000257581829110933,792.845665735536,0.05257,-0.012
"25",0.000213283319865698,800.846691198262,0.05257,-0.012
"26",3.33195217632529e-05,800.846691198262,0.05257,-0.012
"27",0.00139726849185264,785.854773249666,0.05257,-0.012
