"","It","BWE","y"
"1",648.94425,5.693950478,0.225611890064154
"2",658.229875,5.598821078,0.233149751247675
"3",530.65375,4.517841581,0.31538191493572
"4",605.967125,3.564267493,0.275127592883532
"5",572.550733333333,2.137863558,0.309922876316771
"6",558.2709375,1.143936349,0.337619833294211
"7",573.4125,0.489478528,0.321356484543885
"8",609.2551875,0.45791411,0.285168221884138
"9",566.4299375,0.289570552,0.316512085502971
"10",594.7985,0.258006135,0.296688704882149
"11",561.8459375,0.208404908,0.311243653035883
"12",561.699,0.194877301,0.316466225350194
"13",651.5756875,1.54662339,0.162267408573049
"14",602.2168125,1.84712245,0.233992041472412
"15",621.90175,2.089317074,0.181139622281756
"16",612.686875,1.165524889,0.232603719644701
"17",668.2345625,0,0.187974396025419
"18",649.2785,0,0.200867831799863
"19",607.6431875,0.150736647,0.263177799225015
"20",634.0966875,0.667548006,0.271992701667575
"21",652.717,1.942916692,0.195361072241497
"22",585.083,3.769085211,0.326902944952281
"23",521.8641875,5.06968631,0.351132995757274
"24",528.9881875,4.807135784,0.355443075683694
"25",587.54325,3.205354296,0.265241639116176
"26",653.8514375,1.558921398,0.187674218736484
"27",613.3794375,0.492484663,0.283893317312228
